instance_id,summarizer_id,prompt_id,summary,question,answer,prediction,is_correct,is_intended_answer
d0808-A,59,83a00087e5886a6c8c27abe3721bda62,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",The Chaldean patriarch's home was attacked and who was kidnapped?,Mosul 's Archbishop Casmoussa,a Catholic archbishop,TRUE,TRUE
d0808-A,59,5635667e3750694b4cebbbf160b72588,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.","In mid - January, just before the upcoming elections, who was kidnapped by gunmen in Mosul?",a Catholic archbishop,Archbishop Basile Casmoussa,TRUE,TRUE
d0808-A,59,793e8557fb84e0d1f72004e64642a52c,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.","In mid - January, just before the upcoming elections, a Catholic archbishop was kidnapped by what in Mosul?",gunmen,Insurgents,TRUE,TRUE
d0808-A,44,18ecff41a4835973acb4c09cf0b41dc5,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",What religion has represented three percent of Iraq's population?,Christians,Christianity,TRUE,TRUE
d0808-A,44,9d43557b2cbcf4e16e605dcda6bdc626,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",What have modern day Christians represented three percent of?,Iraq 's population,Iraq's population,TRUE,TRUE
d0808-A,44,76999b0b13ede9eb7c5f4fd49db2c999,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",How much of Iraq's population does Christians make up?,about three percent,3 percent,TRUE,TRUE
d0808-A,44,928e7262d87d357c0d17db2e67008be9,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",Christians make up about three percent of what?,Iraq 's population,Iraq's population,TRUE,TRUE
d0808-A,35,d6dddbf158ff577c3c15c0e3dd52b072,"Pascale Isho Warda, a Christian who is the interim government's minister for displacement and migration, estimated as many as 15,000 out of Iraq's nearly 1 million Christians have left the country since August, when four churches in Baghdad and one in Mosul were blown up in a coordinated series of car bombings. But Yonadem Kana, secretary general of the Assyrian Democratic Movement, said the general security situation of the country car bombings, kidnappings and murders, which affect all of Iraq's religious groups had chased away many Christians. It could be an attack on Christians who are willing to participate in",How many Christians have left Iraq?,Fifteen thousand Christians,"15,000",TRUE,TRUE
d0808-A,35,6e615bd68a216c0eb32820779feeeb65,"Pascale Isho Warda, a Christian who is the interim government's minister for displacement and migration, estimated as many as 15,000 out of Iraq's nearly 1 million Christians have left the country since August, when four churches in Baghdad and one in Mosul were blown up in a coordinated series of car bombings. But Yonadem Kana, secretary general of the Assyrian Democratic Movement, said the general security situation of the country car bombings, kidnappings and murders, which affect all of Iraq's religious groups had chased away many Christians. It could be an attack on Christians who are willing to participate in",How many churches were bombed?,Twelve churches,five,FALSE,FALSE
d0808-A,35,7289a5ae23931ef858212e96fc8a12eb,"Pascale Isho Warda, a Christian who is the interim government's minister for displacement and migration, estimated as many as 15,000 out of Iraq's nearly 1 million Christians have left the country since August, when four churches in Baghdad and one in Mosul were blown up in a coordinated series of car bombings. But Yonadem Kana, secretary general of the Assyrian Democratic Movement, said the general security situation of the country car bombings, kidnappings and murders, which affect all of Iraq's religious groups had chased away many Christians. It could be an attack on Christians who are willing to participate in","Since the U.S.-led war started, armed attacks have led many to leave what, mostly for neighboring Syria and Jordan?",the country,Iraq,TRUE,TRUE
d0808-A,35,73b2ad835b3089b82b3f5c9f1cfe19fc,"Pascale Isho Warda, a Christian who is the interim government's minister for displacement and migration, estimated as many as 15,000 out of Iraq's nearly 1 million Christians have left the country since August, when four churches in Baghdad and one in Mosul were blown up in a coordinated series of car bombings. But Yonadem Kana, secretary general of the Assyrian Democratic Movement, said the general security situation of the country car bombings, kidnappings and murders, which affect all of Iraq's religious groups had chased away many Christians. It could be an attack on Christians who are willing to participate in","What has been attacked and more than 100 Christians have been killed, with many more wounded?",Several churches,Churches,TRUE,TRUE
d0808-A,41,83a00087e5886a6c8c27abe3721bda62,"Gumen kidnapped a Catholic archbishop in Iraq's main northern city of Mosul Monday in what the Vatican condemned as a ""terrorist act"" as persistent violence dogged the run-up to landmark January 30 elections. In any event, Christianity in Iraq, through what is known asthe Assyrian Church of the East, took root very shortlyafter the faith was born. The kidnapping of a Catholic bishopin Mosul last week is a sad reminder of theonce robust but rapidly diminishing Christian community in Iraq. The former archbishop of Canterbury launched a campaign Monday to assure thefuture of Iraq's Assyrian community, which he said",The Chaldean patriarch's home was attacked and who was kidnapped?,Mosul 's Archbishop Casmoussa,a Catholic archbishop,TRUE,TRUE
d0808-A,41,cb13e7ae770e304a016ad3f693e5f7b2,"Gumen kidnapped a Catholic archbishop in Iraq's main northern city of Mosul Monday in what the Vatican condemned as a ""terrorist act"" as persistent violence dogged the run-up to landmark January 30 elections. In any event, Christianity in Iraq, through what is known asthe Assyrian Church of the East, took root very shortlyafter the faith was born. The kidnapping of a Catholic bishopin Mosul last week is a sad reminder of theonce robust but rapidly diminishing Christian community in Iraq. The former archbishop of Canterbury launched a campaign Monday to assure thefuture of Iraq's Assyrian community, which he said",When was a Catholic archbishop kidnapped by gunmen in Mosul?,mid - January,Monday,FALSE,FALSE
d0808-A,41,793e8557fb84e0d1f72004e64642a52c,"Gumen kidnapped a Catholic archbishop in Iraq's main northern city of Mosul Monday in what the Vatican condemned as a ""terrorist act"" as persistent violence dogged the run-up to landmark January 30 elections. In any event, Christianity in Iraq, through what is known asthe Assyrian Church of the East, took root very shortlyafter the faith was born. The kidnapping of a Catholic bishopin Mosul last week is a sad reminder of theonce robust but rapidly diminishing Christian community in Iraq. The former archbishop of Canterbury launched a campaign Monday to assure thefuture of Iraq's Assyrian community, which he said","In mid - January, just before the upcoming elections, a Catholic archbishop was kidnapped by what in Mosul?",gunmen,Gunmen,TRUE,TRUE
d0808-A,49,683190a614772468ba10cb3d7678abcd,"More than 1,500 members of an Iraqi Christian group have gone to northern Iraq to try to protect Christians following attacks on churches in Baghdad and Mosul, the leader of the group said Saturday. Armed men kidnapped a Catholic archbishop in Iraq 's main northern city of Mosul Monday, a local priest said, prompting denunciations from the Vatican of what it called a ""terrorist act"". Iraq's 25.4 million people include ethnic Arabs, Kurds and Turks and are religiously split among the Sunni and Shiite branches of Islam. Christians flourished in Iraq long before anyone, anywhere was Muslim .",What was attacked and Mosul's Archbishop Casmoussa was kidnapped?,The Chaldean patriarch 's home,churches,TRUE,FALSE
d0808-A,49,83a00087e5886a6c8c27abe3721bda62,"More than 1,500 members of an Iraqi Christian group have gone to northern Iraq to try to protect Christians following attacks on churches in Baghdad and Mosul, the leader of the group said Saturday. Armed men kidnapped a Catholic archbishop in Iraq 's main northern city of Mosul Monday, a local priest said, prompting denunciations from the Vatican of what it called a ""terrorist act"". Iraq's 25.4 million people include ethnic Arabs, Kurds and Turks and are religiously split among the Sunni and Shiite branches of Islam. Christians flourished in Iraq long before anyone, anywhere was Muslim .",The Chaldean patriarch's home was attacked and who was kidnapped?,Mosul 's Archbishop Casmoussa,a Catholic archbishop,TRUE,TRUE
